0,186,5.06,156,14.3,105,85.2,
0.05,184.261,9.22425,156.753,13.8324,105,85.2584,
0.1,179.505,20.3039,158.789,12.5845,105,85.4509,
0.15,172.422,36.1792,161.773,10.7886,105,85.8038,
0.2,163.704,54.7306,165.369,8.67697,105,86.3432,
0.25,154.039,73.8384,169.242,6.48186,105,87.0952,
0.3,144.121,91.3828,173.057,4.43556,105,88.0859,
0.35,134.637,105.244,176.478,2.77037,105,89.3416,
0.4,126.281,113.303,179.17,1.71856,105,90.8883,
0.45,119.641,114.07,180.899,1.43844,105,92.7327,
0.5,114.911,108.582,181.84,1.79256,105,94.8042,
0.55,112.183,98.5036,182.268,2.56945,105,97.0124,
0.6,111.549,85.5019,182.459,3.55766,105,99.2673,
0.65,113.102,71.243,182.689,4.54575,98.5871,101.479,
0.7,116.933,57.3933,183.232,5.3223,89.3262,103.556,
0.75,122.943,45.3474,184.28,5.72898,83.6982,105,
0.8,130.256,35.4123,185.677,5.82029,81.1904,105,
0.85,137.803,27.6234,187.183,5.70391,80.8676,105,
0.9,144.517,22.0161,188.557,5.48749,81.7948,105,
0.95,149.329,18.6258,189.558,5.27869,83.0369,105,
1,151.17,17.4878,189.945,5.18517,83.6587,105,
